contributor_zip,total_population,median_age,median_income,num_donations,total_amt_donated,white_alone_percent,black_alone_percent,native_american_percent,asian_alone_percent,hawaiian_pacific_percent,other_race_percent,two_or_more_races_percent,amt_donated_per_resident
21043,47309,38.5,145000,42,29175.11,51.57158257414023,11.858208797480394,0.22405884715381852,24.747933796951955,0,2.8958549113276546,8.702361072945951,0.6166925954892304
20866,16680,38.3,137990,11,9950,21.552757793764986,46.06714628297362,0.42565947242206237,18.507194244604317,0,6.3549160671462825,7.09232613908873,0.5965227817745803
21076,22041,35.9,137237,14,13130.25,43.20130665577786,33.269815344131395,0.26314595526518764,11.637403021641486,0.09073998457420263,3.8383013474887706,7.699287691121093,0.595719341227712
20901,37207,39.7,123031,50,22038.67,43.83583734243556,29.220308006557904,0.5966619184562044,8.14900421963609,0.23920230064235223,10.19431827344317,7.7646679388287145,0.5923259064154595
20777,3220,45.6,215833,7,1808.2,70.43478260869566,6.39751552795031,0,16.73913043478261,0,1.3975155279503106,5.031055900621118,0.5615527950310559
20716,22340,42,119507,28,12464,18.858549686660698,68.69740376007162,0.4521038495971351,2.900626678603402,0,3.6347358997314236,5.456580125335721,0.5579230080572963
21740,62760,39.3,57150,15,34800,70.59114085404717,17.28648820905035,0.20076481835564053,1.7590822179732315,0.16730401529636713,2.1112173358827278,7.884002549394518,0.5544933078393881
20745,29355,38.4,77869,24,16067.86,7.249190938511327,63.1033895418157,0.6370294668710611,3.774484755578266,0.0510986203372509,20.0340657468915,5.150740929994891,0.5473636518480668
21620,13636,41.2,69842,15,7425.82,80.48547961278967,13.105016133763566,0,1.1733646230566148,0.08066881783514226,1.2980346142563801,3.8574361982986214,0.544574655324142
21014,37097,41.4,109366,19,19458.46,82.9420168746799,5.062403967975848,0.05930398684529747,3.566326118014934,0.301911205757878,1.6793810820281962,6.388656764697955,0.5245292072135213
21013,5382,45.6,161141,2,2801.25,92.17762913415088,1.7651430694908956,0,1.2263099219620959,0,0.9104422147900408,3.9204756596060943,0.5204849498327759
20705,28660,35.7,102816,18,14830.66,15.983949755757154,36.468946266573624,0.0732728541521284,10.914166085136078,0,29.65457083042568,6.905094207955338,0.5174689462665736
21913,878,32.2,NA,1,450,88.15489749430525,10.364464692482915,0,0.683371298405467,0,0,0.7972665148063782,0.5125284738041003
21054,15687,40.8,152232,12,7879.26,61.50953018422898,13.826735513482502,0.3314846688340664,9.128577803276599,0,4.398546567221266,10.805125262956588,0.5022795945687513
21044,45100,39.6,123658,44,22455.64,47.572062084257205,26.572062084257208,0.1951219512195122,12.534368070953436,0.026607538802660754,2.600886917960089,10.49889135254989,0.49790776053215074
20904,56532,40.9,90926,49,27958.06,24.658600438689593,50.00707563857638,0.5306728932286139,11.742022217505129,0.049529470034670627,7.126936956060284,5.8851623859053275,0.49455281964197273
20708,27909,35.3,80569,9,13743.05,16.345981583001898,64.45591027983805,0.3009781790820165,3.300010749220682,0,10.605897739080582,4.991221469776774,0.4924235909563223
21502,41291,43.5,56958,10,20319.22,84.61650238550774,9.629217020658256,0.17437213920709113,0.8476423433678042,0,0.21796517400886392,4.5143009372502485,0.4920980358915987
21784,37219,40.3,138923,15,18277.92,81.78349767591821,6.609527391923479,0.49437115451785374,4.089309223783552,0.045675595797845185,1.1714446922270882,5.8061742658319675,0.49109110937961786
20880,604,58.1,131528,1,291.27,77.31788079470199,12.582781456953644,0,2.4834437086092715,0,3.642384105960265,3.9735099337748347,0.48223509933774833
20744,55820,44.2,121068,59,26654,9.613041920458617,67.10318882121103,1.5836617699749194,4.743819419562881,0,11.452884270870655,5.503403797921892,0.4774991042637048
